tab delimited	contribution
data_model_version	description
3.0	Downloaded from MagIC at 2026-02-05T15:23:58.389Z.
>>>>>>>>>>
tab delimited	locations
location	location_type	location_alternatives	result_name	result_type	method_codes	citations	expedition_name	expedition_ship	geologic_classes	lithologies	plate_blocks	terranes	geological_province_sections	tectonic_settings	lat_s	lat_n	lon_w	lon_e	elevation_low	elevation_high	continent_ocean	country	state_province	ocean_sea	region	village_city	age	age_sigma	age_low	age_high	age_unit	dir_tilt_correction	dir_dec	dir_inc	dir_alpha95	dir_k	dir_k_ratio	dir_polarity	dir_n_sites	dir_n_samples	fold_test_significance	fold_test	conglomerate_test	contact_test	reversal_test	pole_lat	pole_lon	pole_dp	pole_dm	pole_alpha95	pole_k	pole_comp_name	pole_reversed_perc	pole_antipodal_angle	description	rock_magnetic_test	external_database_ids	analysts
Rhoen igneous rocks	Outcrop		2294	i	DE-DI : LT-AF-Z:LP-DC2	BOCK & SOFFEL (1971)			Intrusive	Intrusives			Rhoen igneous rocks		50.5	50.5	10	10			Europe	Germany			Germany				4	11	Ma	0	359	62	16	8			13	101		ND	ND	ND	R-	83	197	20	25				46	148	Late Miocene to Early Pliocene. AF cleaning 10-20mT. OP (TM).	M		
Rhoen igneous rocks	Outcrop		2294	i	DE-DI : LT-AF-Z:LP-DC2	BOCK & SOFFEL (1971)			Intrusive	Intrusives			Rhoen igneous rocks		50.5	50.5	10	10			Europe	Germany			Germany				4	11	Ma	0	27	69.3	16.4	14.5			7			ND	ND	ND	R-	83	197	20	25				46	148	Late Miocene to Early Pliocene. AF cleaning 10-20mT. OP (TM).	M		
Rhoen igneous rocks	Outcrop		2294	i	DE-DI : LT-AF-Z:LP-DC2	BOCK & SOFFEL (1971)			Intrusive	Intrusives			Rhoen igneous rocks		50.5	50.5	10	10			Europe	Germany			Germany				4	11	Ma	0	158.4	-47.5	29.1	6.3		r	6			ND	ND	ND	R-	83	197	20	25				46	148	Late Miocene to Early Pliocene. AF cleaning 10-20mT. OP (TM).	M		
Cretaceous Limestones Munster Basin	Outcrop		758	i	DE-VGP : LT-AF-Z:LP-DC3	HELLER & CHANNELL (1979)			Sedimentary	Limestone					52	52	8	8			Europe	Germany			Germany				88	100	Ma	100	2.5	57.8	3.1	276			9	191		Fo	ND	ND	ND	75.8	181.1	3.8	3.8				0		Cenomanian and Turonian. Generally flat lying and undisturbed. AF to 40mT max Tb 550-575C. . IRM (sat. 0. 2T some no sat. )  GOETH present. 'significant improvement on correction' stated by.	M		
East Eifel Volcanics	Outcrop		GPMDB: 780	a	DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany				0	1	Ma	0	5.2	66.6	4.4	33.3			33	416		ND	ND	ND	ND	86.4	116.1	6	7.3				0		Brunhes Epoch. Mostly AF some thermal 250-600C. . OP (TM oxidation state varies). 33 directions from 46 sites combined to give mean. .	M	GPMDB[780]	
East Eifel Volcanics	Outcrop		0.424444444444444	a	LP-DC3 : LP-DIR:GM-KAR	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany		0.39	0.39	0	0.78	Ma	100	349.5	68.5	2.4	169				22						83.3	293.2	3.4	4						Brunhes Epoch.			
East Eifel Volcanics	Outcrop		0.604166666666667	a	LP-DC3 : LP-DIR:GM-KAR	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany		0.39	0.39	0	0.78	Ma	100	1.3	64.7	2.1	235				20						86.2	173.5	2.8	4.3						Brunhes Epoch.			
East Eifel Volcanics	Outcrop		0.63630787037037	a	LP-DC3 : LP-DIR:GM-KAR	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany		0.39	0.39	0	0.78	Ma	100	353.4	65.6	2.7	171				18						85	250.2	3.5	4.3						Brunhes Epoch.			
East Eifel Volcanics	Outcrop		20:21:22:23	a	LP-DC3 : LP-DIR:GM-KAR	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany		0.39	0.39	0	0.78	Ma	100	339.4	73.6	1.5	210				43						75.1	323.2	2.4	2.7						Brunhes Epoch.			
East Eifel Volcanics	Outcrop		1.40069444444444	a	LP-DC3 : LP-DIR:GM-KAR	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany		0.39	0.39	0	0.78	Ma	100	2.7	81	1.6	377				21						67.9	9.4	3.1	3.2						Brunhes Epoch.			
East Eifel Volcanics	Outcrop		1.65277777777778	a	LP-DC3 : LP-DIR:GM-KAR	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany		0.39	0.39	0	0.78	Ma	100	346.5	71.5	1.8	427				16						80.1	318.1	2.7	3.1						Brunhes Epoch.			
East Eifel Volcanics	Outcrop		1.7375	a	LP-DC3 : LP-DIR:GM-KAR	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany		0.39	0.39	0	0.78	Ma	100	347.6	48.2	3	116				21						66.8	215.9	2.5	3.9						Brunhes Epoch.			
East Eifel Volcanics	Outcrop		1.86458333333333	a	LP-DC3 : LP-DIR:GM-KAR	BOHNEL ET AL. (1982)			Extrusive	Extrusives					50.4	50.4	7.3	7.3			Europe	Germany			Germany		0.39	0.39	0	0.78	Ma	100	338	71.3	1.3	871				15						75.8	308.3	2	2.3						Brunhes Epoch.			
Black Forest	Outcrop		2491	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	KONRAD & NAIRN (1972)			Intrusive : Sedimentary:Extrusive	Intrusives : sediments:Extrusives					48	48	8	8			Europe	Germany			Germany				271	299	Ma	100	189.3	-15	6	35			18	104		ND	ND	ND	ND	48.4	174.1	3.1	6.1				100		Considered to be Rotliegendes possibly early as Stephanian. AF to 120mT thermal to 600C minimum dispersion method.	ND		
Schopfheim Basin	Outcrop		2492	i	DE-DI : LT-T-Z:LP-DC3	KONRAD & NAIRN (1972)			Sedimentary	Redbeds			Schopfheim Basin sediments		47.5	47.5	7.8	7.8			Europe	Germany			Germany				285	307	Ma	100	209	11.4	8.8				5	38		ND	ND	ND	ND	30.7	154.1	4.6	8.9				100		Earliest sediments may be of Stephanian age. Thermal cleaning 500-550C.	ND		
East Eiffel Volcanics	Outcrop		2290	i	DE-VGP : LT-AF-Z:LP-DC2	KOHEN & WESTKAMPER (1978)			Extrusive	Extrusives					50.5	50.5	7	7			Europe	Germany			Germany				0	1	Ma	0	3.7	67.7	3.2	64.1			31	404		ND	ND	ND	ND	87	69.2	4.8	4.8				0		Brunhes Epoch. AF cleaning 10-30mT.	ND		
Lausitz Volcanics	Outcrop		3304	i	DE-DI : LT-AF-Z:LP-DC2	NAIRN & VOLLSTADT (1967)			Extrusive	phonolites:Basalt			Lausitz Volcanics		51	51	14.7	14.7			Europe	Germany			Germany				16	29	Ma	0	201.1	-63.2	5.2	33.8			24	148		ND	ND	ND	Rc	74.6	120.5	6.5	8.2				81	168.5	Late Oligocene to Early Miocene. Extent 35 km. AF cleaning to 17mT minimum dispersion. OP (TM Cl. 2-3 oxid. )  SUSC. Calculated omitting transitional directions.	M		
Lausitz Volcanics	Outcrop		3304	i	DE-DI : LT-AF-Z:LP-DC2	NAIRN & VOLLSTADT (1967)			Extrusive	phonolites:Basalt			Lausitz Volcanics		51	51	14.7	14.7			Europe	Germany			Germany				16	29	Ma	0	29.7	71.7	10.9	49.9			5			ND	ND	ND	Rc	74.6	120.5	6.5	8.2				81	168.5	Late Oligocene to Early Miocene. Extent 35 km. AF cleaning to 17mT minimum dispersion. OP (TM Cl. 2-3 oxid. )  SUSC. Calculated omitting transitional directions.	M		
Lausitz Volcanics	Outcrop		3304	i	DE-DI : LT-AF-Z:LP-DC2	NAIRN & VOLLSTADT (1967)			Extrusive	phonolites:Basalt			Lausitz Volcanics		51	51	14.7	14.7			Europe	Germany			Germany				16	29	Ma	0	199.6	-60.9	5.8	34.4		r	19			ND	ND	ND	Rc	74.6	120.5	6.5	8.2				81	168.5	Late Oligocene to Early Miocene. Extent 35 km. AF cleaning to 17mT minimum dispersion. OP (TM Cl. 2-3 oxid. )  SUSC. Calculated omitting transitional directions.	M		
Hocheifel Tertiary Volcanics	Outcrop		781	i	DE-VGP : LT-AF-Z:LP-DC3	WEINREICH & BLEIL (1984)			Extrusive	Basalt:Andesite					50.3	50.3	7	7			Europe	Germany			Germany				23	45	Ma	0	1	59.1	3.4	39			47	351		ND	ND	ND	Rb	80.8	182	4.2	4.2				30	174.3	AF to 40mT stable above 15mT. .	ND		
Hocheifel Tertiary Volcanics	Outcrop		781	i	DE-VGP : LT-AF-Z:LP-DC3	WEINREICH & BLEIL (1984)			Extrusive	Basalt:Andesite					50.3	50.3	7	7			Europe	Germany			Germany				23	45	Ma	0	359.9	57.5	3.9	42			33			ND	ND	ND	Rb	80.8	182	4.2	4.2				30	174.3	AF to 40mT stable above 15mT. .	ND		
Hocheifel Tertiary Volcanics	Outcrop		781	i	DE-VGP : LT-AF-Z:LP-DC3	WEINREICH & BLEIL (1984)			Extrusive	Basalt:Andesite					50.3	50.3	7	7			Europe	Germany			Germany				23	45	Ma	0	184.1	-62.8	6.7	36		r	14			ND	ND	ND	Rb	80.8	182	4.2	4.2				30	174.3	AF to 40mT stable above 15mT. .	ND		
Black Forest Rhyolites	Outcrop		7658	i	DE-DI : LT-T-Z:LP-DC4	EDEL & SCHNEIDER (1995)			Extrusive	rhyolites			Black Forest Rhyolites		48.5	48.5	8	8			Europe	Germany			Germany				294	300	Ma	100	191	-3	1	999.9			2	18		ND	ND	ND	ND	42	173	0.5	1			M	100		M Component. Thermal to 580C characteristic component.	ND		
Vogelsberg	Region								Extrusive	Basaltic Lava					50.2760440204292	50.7956620026379	8.71981096453964	9.48343503288924			Europe	Germany	Hessen				16.4		15.2	17.6	Ma		3.8	62.2	2.4	30.2			116	1485					Ra	84.5	161.9			3.2	18.2							
East Eifel volcanics	Region					10.1111/J.1365-246X.1995.TB05737.X									50.42	50.43	7.13	7.14			Europe				Germany																																	
Bruggen Germany	Stratigraphic Section					KOCI & SIBRAVA (1976)									51.3	51.3	6.3	6.3			Europe	Germany																																	Bruggen Matuyama-Brunhes R-N.			
Regensburg Germany	Stratigraphic Section					KOCI & SIBRAVA (1976)									49	49	12.1	12.1			Europe	Germany																																	Regensburg Matuyama-Brunhes R-N.			
Basalts Cottaer Spitzberg	Outcrop		2924	i	DE-DI : LT-AF-Z:LP-DC3	ROTHER (1971)			Extrusive	Basalt					50.9	50.9	14	14			Europe	Germany			East Germany				2	65	Ma	0	23.2	56.1	45.3	3.1			1	6		ND	ND	ND	ND	68.1	135.7	47	65				0		AF to 80mT.	ND		
Asphaltkalk Deposits	Outcrop		8057	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC4	KATZ ET AL. (1996)			Sedimentary	Limestone			Asphaltkalk Deposits		52	52	9.5	9.5			Europe	Germany			Northern Germany				55	85	Ma	100	9.2	58.6	2.9	222			12	60		F-	ND	ND	ND	75.8	159.4	3.2	4.3				0		Kimmeridgian and Potlandian petroleum impregnated. Thermal to 600C mostly AF to 90mT high temp. high coer. comp. . IRM (sat. 0. 2T) ; HYST. Late Cretaceous to Early Tertiary age.	M		
Asphaltkalk Deposits	Outcrop		8057	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC4	KATZ ET AL. (1996)			Sedimentary	Limestone			Asphaltkalk Deposits		52	52	9.5	9.5			Europe	Germany			Northern Germany				55	85	Ma	0	11.8	61.6	6.2	49.3	0.22		12			F-	ND	ND	ND	75.8	159.4	3.2	4.3				0		Kimmeridgian and Potlandian petroleum impregnated. Thermal to 600C mostly AF to 90mT high temp. high coer. comp. . IRM (sat. 0. 2T) ; HYST. Late Cretaceous to Early Tertiary age.	M		
Asphaltkalk Deposits	Outcrop		8057	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC4	KATZ ET AL. (1996)			Sedimentary	Limestone			Asphaltkalk Deposits		52	52	9.5	9.5			Europe	Germany			Northern Germany				55	85	Ma	0	9.2	58.6	2.9	222			12			F-	ND	ND	ND	75.8	159.4	3.2	4.3				0		Kimmeridgian and Potlandian petroleum impregnated. Thermal to 600C mostly AF to 90mT high temp. high coer. comp. . IRM (sat. 0. 2T) ; HYST. Late Cretaceous to Early Tertiary age.	M		
Gipskeuper Sediments	Outcrop		8179	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC4	EDEL & DURINGER (1997)			Sedimentary	red marl					49	49	9.5	9.5			Europe	Germany			Western Germany				222	228	Ma	100	36.4	36.2	6.4	209.1			4	35		ND	ND	ND	Ro	49	131	7	7				50	177.9	Early Carnian age. Characteristic. Thermal to 680C characteristic component. IRM (no sat. 1. 5T).	M		
Gipskeuper Sediments	Outcrop		8179	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC4	EDEL & DURINGER (1997)			Sedimentary	red marl					49	49	9.5	9.5			Europe	Germany			Western Germany				222	228	Ma	100	36.5	37.3	12.1	425.3			2			ND	ND	ND	Ro	49	131	7	7				50	177.9	Early Carnian age. Characteristic. Thermal to 680C characteristic component. IRM (no sat. 1. 5T).	M		
Gipskeuper Sediments	Outcrop		8179	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC4	EDEL & DURINGER (1997)			Sedimentary	red marl					49	49	9.5	9.5			Europe	Germany			Western Germany				222	228	Ma	100	216.3	-35.2	26.9	88.2		r	2			ND	ND	ND	Ro	49	131	7	7				50	177.9	Early Carnian age. Characteristic. Thermal to 680C characteristic component. IRM (no sat. 1. 5T).	M		
Gipskeuper Sediments Overprint	Outcrop		8180	i	DE-VGP : LT-AF-Z : LT-T-Z:LP-DC4	EDEL & DURINGER (1997)			Sedimentary	red marl					49	49	9.5	9.5			Europe	Germany			Western Germany				176	200	Ma	0	18.7	59.3	5.2	165.3			6	67		ND	ND	ND	ND	74	124	6	6			Overprint	0		Early Carnian age. Overprint. Thermal to 680C secondary component. IRM (no sat. 1. 5T). Early Jurassic overprint.	M		
East Eifel volcanics	Region					10.1016/0031-9201(95)03096-4									50.35	50.47	7.14	7.39			Europe				Germany																																	
West Eifel volcanics	Region					10.1029/93JB03365									50.07	50.29	6.55	7.02			Europe				Germany																																	
Eifel volcanics	Region					10.1029/93JB03365									50.07	50.29	6.55	7.02			Europe				Germany																																	
Paleozoic Volcanics Frankenwald	Outcrop		779	i	DE-VGP : LT-AF-Z:LP-DC3	KIM & SOFFEL (1982)			Intrusive:Extrusive	Intrusives:pillow lavas		Bohemian Massif			50.3	50.3	11.7	11.7			Europe	Germany			Germany				240	270	Ma	100	198.9	-17.2	6.6	57			8	79		F-	ND	ND	ND	45.7	164.4	5.5	5.5				100		Dips 15-60 various directions. AF to 250mT thermal unsuccessful. . Js-T (500-560C)  OP (TM some exs. lam. ILM). Secondary magnetization of Permian age.	M		
Paleozoic Volcanics Frankenwald	Outcrop		779	i	DE-VGP : LT-AF-Z:LP-DC3	KIM & SOFFEL (1982)			Intrusive:Extrusive	Intrusives:pillow lavas		Bohemian Massif			50.3	50.3	11.7	11.7			Europe	Germany			Germany				240	270	Ma	0	203.7	-25.4	17.9	7.6	0.13		8			F-	ND	ND	ND	45.7	164.4	5.5	5.5				100		Dips 15-60 various directions. AF to 250mT thermal unsuccessful. . Js-T (500-560C)  OP (TM some exs. lam. ILM). Secondary magnetization of Permian age.	M		
Paleozoic Volcanics Frankenwald	Outcrop		779	i	DE-VGP : LT-AF-Z:LP-DC3	KIM & SOFFEL (1982)			Intrusive:Extrusive	Intrusives:pillow lavas		Bohemian Massif			50.3	50.3	11.7	11.7			Europe	Germany			Germany				240	270	Ma	0	198.9	-17.2	6.6	57			8			F-	ND	ND	ND	45.7	164.4	5.5	5.5				100		Dips 15-60 various directions. AF to 250mT thermal unsuccessful. . Js-T (500-560C)  OP (TM some exs. lam. ILM). Secondary magnetization of Permian age.	M		
Suevites Nordlinger Ries	Outcrop		3472	i	DE-DI : LT-AF-Z:LP-DC2	10.5636/JGG.17.363			Metamorphic	tuffaceous rocks					49.9	49.9	10.5	10.5			Europe	Germany			Germany				14	16	Ma	0	191.4	-59.5	1.4	997.5			12	111		ND	ND	ND	ND	77.5	146.3	1.6	2.1				100		Cryptoexplosion structure. Extent 35 km. AF to 100mT cleaning >20mT. Preliminary results are reported in REFNO 271.	ND		
Parkstein Basalt	Outcrop		2761	i	DE-DI : LT-AF-Z:LP-DC2	SOFFEL & SUPALAK (1968)			Extrusive	Basalt			Parkstein Basalt		49.7	49.7	12.1	12.1			Europe	Germany			Germany				20	28	Ma	0	177.4	-51.4	2.5					31		ND	ND	ND	ND	72	199	2.4	3.4				100		AF cleaning 40mT.	ND		
Bohemian Massif Igneous Rocks	Outcrop		6133	i	DE-VGP : LT-T-Z:LP-DC3	SOFFEL & HARZER (1991)			Intrusive	Granite:Porphyry		Bohemian Massif			49.8	49.8	12	12			Europe	Germany			Germany				275	280	Ma	100	199	-9.1	9.9	28			9	159		ND	ND	ND	ND	42.3	165.9	6.4	6.4				100		Sygenetic with youngest granites of Fichtelgebirge. Dips 20-40 NW. Thermal to 680C analysis of Zijderveld plots. IRM (rapid rise tp 0. 1T no sat. 1. 5T)  OP (MAGN ILM HEM).	M		
St.Wendel Sandstone	Outcrop		3742	i	DE-DI : LT-NO:LP-DC0	10.1111/J.1365-246X.1957.TB02884.X			Sedimentary	sediments			St.Wendel Sandstone		49.5	49.5	7	7			Europe	Germany			Germany				271	299	Ma	0	181	-9	4	27				5		ND	ND	ND	ND	45	185	2	4				100		Superseded study. Old Result. Superseded study.	ND		
Tertiary Volcanics Northern Bavaria	Outcrop		2287	i	DE-VGP : LT-AF-Z:LP-DC2	POHL & SOFFEL (1977)			Extrusive	Extrusives					50.1	50.1	11.4	11.4			Europe	Germany			Germany				16	41	Ma	0	12.4	59	5.8	28.7			22	316		ND	ND	ND	Rc	78	140	7.2	7.2				68	170.1	AF minimum dispersion 10-20mT. Js-T (CT 50-550C)  Hc OP (TM + low temp. oxidation).	M		
Tertiary Volcanics Northern Bavaria	Outcrop		2287	i	DE-VGP : LT-AF-Z:LP-DC2	POHL & SOFFEL (1977)			Extrusive	Extrusives					50.1	50.1	11.4	11.4			Europe	Germany			Germany				16	41	Ma	0	16.2	65.5	9.7	39.6			7			ND	ND	ND	Rc	78	140	7.2	7.2				68	170.1	AF minimum dispersion 10-20mT. Js-T (CT 50-550C)  Hc OP (TM + low temp. oxidation).	M		
Tertiary Volcanics Northern Bavaria	Outcrop		2287	i	DE-VGP : LT-AF-Z:LP-DC2	POHL & SOFFEL (1977)			Extrusive	Extrusives					50.1	50.1	11.4	11.4			Europe	Germany			Germany				16	41	Ma	0	191.1	-55.9	7.4	27.5		r	15			ND	ND	ND	Rc	78	140	7.2	7.2				68	170.1	AF minimum dispersion 10-20mT. Js-T (CT 50-550C)  Hc OP (TM + low temp. oxidation).	M		
Bonn Intrusives	Outcrop		3643	i	DE-DI : LT-NO:LP-DC0	NAIRN (1960)			Intrusive	Intrusives			Bonn Intrusives		50.5	50.5	7	7			Europe	Germany			Germany				5	34	Ma	0	188	-63	14	16				18		ND	ND	ND	ND	82	142	17	22				100		Superseded study. Old Result. Superseded study.	ND		
Rotliegende sediments lavas	Outcrop		3647	a	DE-VGP : LT-NO:LP-DC0	NAIRN (1960)			Extrusive:Sedimentary	Extrusives					49	49	7	7			Europe	Germany			Germany				271	299	Ma	0	177	1	18	27			4	36		ND	ND	ND	ND	40	190	14	14				100		Extent 100 km. Superseded study. Combined GJ 4. 015-18. Old Result. Superseded study.	ND		
Vogelsberg Volcanics	Outcrop		3644	i	DE-DI : LT-NO:LP-DC0	NAIRN (1960)			Extrusive:Intrusive	Extrusives:Intrusives			Vogelsberg Volcanics		50.5	50.5	9	9			Europe	Germany			Germany				5	23	Ma	0	2	65						25		ND	ND	ND	R-	86	168						64	163.3	Superseded study. Old Result. Superseded study.	ND		
Vogelsberg Volcanics	Outcrop		3644	i	DE-DI : LT-NO:LP-DC0	NAIRN (1960)			Extrusive:Intrusive	Extrusives:Intrusives			Vogelsberg Volcanics		50.5	50.5	9	9			Europe	Germany			Germany				5	23	Ma	0	9	72	11	23			9			ND	ND	ND	R-	86	168						64	163.3	Superseded study. Old Result. Superseded study.	ND		
Vogelsberg Volcanics	Outcrop		3644	i	DE-DI : LT-NO:LP-DC0	NAIRN (1960)			Extrusive:Intrusive	Extrusives:Intrusives			Vogelsberg Volcanics		50.5	50.5	9	9			Europe	Germany			Germany				5	23	Ma	0	177	-57	12	10		r	16			ND	ND	ND	R-	86	168						64	163.3	Superseded study. Old Result. Superseded study.	ND		
Gottingen Volcanics	Outcrop		3559	i	DE-DI : LT-AF-Z:LP-DC2	SCHULT (1963)			Extrusive	Andesite:Basalt			Gottingen Volcanics		51.4	51.4	9.8	9.8			Europe	Germany			Germany				3	7	Ma	0	184	-64	11	13			15	155		ND	ND	ND	Ro	83	163	14	17				80	170	Upper Miocene to Middle Pliocene. Extent 60 km. AF cleaning 6-21mT.	ND		
Gottingen Volcanics	Outcrop		3559	i	DE-DI : LT-AF-Z:LP-DC2	SCHULT (1963)			Extrusive	Andesite:Basalt			Gottingen Volcanics		51.4	51.4	9.8	9.8			Europe	Germany			Germany				3	7	Ma	0	346	66.5					3			ND	ND	ND	Ro	83	163	14	17				80	170	Upper Miocene to Middle Pliocene. Extent 60 km. AF cleaning 6-21mT.	ND		
Gottingen Volcanics	Outcrop		3559	i	DE-DI : LT-AF-Z:LP-DC2	SCHULT (1963)			Extrusive	Andesite:Basalt			Gottingen Volcanics		51.4	51.4	9.8	9.8			Europe	Germany			Germany				3	7	Ma	0	188	-63	11			r	12			ND	ND	ND	Ro	83	163	14	17				80	170	Upper Miocene to Middle Pliocene. Extent 60 km. AF cleaning 6-21mT.	ND		
Habichtswald Tuffs Lavas	Outcrop		3560	i	DE-DI : LT-AF-Z:LP-DC2	SCHULT (1963)			Extrusive	Tuff:Basalt			Habichtswald Tuffs and Lavas		51.3	51.3	9.4	9.4			Europe	Germany			Germany				3	7	Ma	0	358	66	19	24			4	11		ND	ND	ND	Ro	87	219	25	31				25		Upper Miocene to Middle Pliocene. Extent 4 km. AF cleaning 5-10mT.	ND		
Igneous rocks Saar-Nahe Basin	Outcrop		2371	i	DE-DI : LT-AF-Z:LP-DC2	BERTHOLD ET AL. (1975)			Intrusive	Intrusives					49.5	49.5	7	7			Europe	Germany			Germany				241	278	Ma	0	187.4	-15.5	11.5	7.6			23	124		ND	ND	ND	R-	47.9	176	6.1	11.9				62	147.6	AF cleaning 7. 5 to 30mT. OP (TM Cl. 1-6 ILM).	M		
Igneous rocks Saar-Nahe Basin	Outcrop		2371	i	DE-DI : LT-AF-Z:LP-DC2	BERTHOLD ET AL. (1975)			Intrusive	Intrusives					49.5	49.5	7	7			Europe	Germany			Germany				241	278	Ma	0	354.3	30.3	16.6	12.1			8			ND	ND	ND	R-	47.9	176	6.1	11.9				62	147.6	AF cleaning 7. 5 to 30mT. OP (TM Cl. 1-6 ILM).	M		
Igneous rocks Saar-Nahe Basin	Outcrop		2371	i	DE-DI : LT-AF-Z:LP-DC2	BERTHOLD ET AL. (1975)			Intrusive	Intrusives					49.5	49.5	7	7			Europe	Germany			Germany				241	278	Ma	0	195.7	-4.9	12.6	10.2		r	15			ND	ND	ND	R-	47.9	176	6.1	11.9				62	147.6	AF cleaning 7. 5 to 30mT. OP (TM Cl. 1-6 ILM).	M		
Vogelsberg Basalts	Outcrop		3691	i	DE-DI : LT-NO:LP-DC0	ANGENHEISTER (1956)			Extrusive	Basalt			Vogelsberg Basalts		50.5	50.5	9.5	9.5			Europe	Germany			Germany				5	23	Ma	0	8.5	57.5	6	13			42	200		ND	ND	ND	Rc	76.5	160	6.5	8.5				31	177	Superseded study. Old Result. Superseded study.	ND		
Vogelsberg Basalts	Outcrop		3691	i	DE-DI : LT-NO:LP-DC0	ANGENHEISTER (1956)			Extrusive	Basalt			Vogelsberg Basalts		50.5	50.5	9.5	9.5			Europe	Germany			Germany				5	23	Ma	0	8	57	8	11			29			ND	ND	ND	Rc	76.5	160	6.5	8.5				31	177	Superseded study. Old Result. Superseded study.	ND		
Vogelsberg Basalts	Outcrop		3691	i	DE-DI : LT-NO:LP-DC0	ANGENHEISTER (1956)			Extrusive	Basalt			Vogelsberg Basalts		50.5	50.5	9.5	9.5			Europe	Germany			Germany				5	23	Ma	0	188.5	-60	15	7		r	13			ND	ND	ND	Rc	76.5	160	6.5	8.5				31	177	Superseded study. Old Result. Superseded study.	ND		
Rotliegendes Series Thuringer Forest	Outcrop		1467	i	DE-DI : LT-AF-Z : LT-T-Z:LP-DC3	10.1016/0040-1951(83)90170-1			Extrusive:Sedimentary	Extrusives			Rotliegendes Series		50.7	50.7	10.9	10.9			Europe	Germany			Germany				271	299	Ma	100	195.2	-6.2	9.6	14.7			17	101		ND	ND	ND	ND	40.7	170.7	4.8	9.6				100		Rotliegendes age. Thermal cleaning at 400C some at 550C. IRM (sat. 0. 2T no sat. 1. 4T).	M		
Kaiserstuhl Volcanics	Outcrop		3307	i	DE-DI : LT-NO:LP-DC1	ROCHE & LAUER (1964)			Extrusive	Extrusives			Kaiserstuhl Volcanics		48.1	48.1	7.6	7.6			Europe	Germany			Germany				14	18	Ma	0	186	-49	12	21			8			ND	ND	ND	ND	71	171	11	16				100		Superseded study. Pilot AF tests. Old Result. Superseded study.	ND		
Nahe Igneous Rocks	Outcrop		3703	i	DE-DI : LT-NO:LP-DC1	SCHMUCKER (1959)			Intrusive:Extrusive	Extrusives:Intrusives			Nahe Igneous Rocks		50	50	8	8			Europe	Germany			Germany				251	299	Ma	0	195	-4		5			4	18		ND	ND	ND	ND	40.3	168.2						100		Extent 40 km. Superseded study. AF and thermal stability tests. Pole recalculated from site position and direction. Old Result. Superseded study.	ND		
Barren pyrite facies & copper sulphide ores	Outcrop		366	i	DE-VGP : LT-T-Z:LP-DC4	10.1029/JB092IB01P00581			Metamorphic:Sedimentary	ores			Barren pyrite facies & copper sulphide ores		52	52	8	8			Europe	U.K. : Germany : Poland			U.K.				10	20	Ma	100	7.1	63.9	4.6	721			3	85		ND	ND	ND	ND	82.6	145.9	3.3	3.3				0		Basal Zechstein (basal PU). . subhorizontal. Char. comp. (U. K.  West Germany)  sec. subtracted vector (Poland). . MAGAGE from APWP for Europe. Could also be 110 (K) or 180 (J) ?.	ND		
Frankenstein Intrusive Complex	Outcrop		8594	i	DE-DI : LT-T-Z:LP-DC4	10.1029/2000JB900167			Intrusive	Diorite:Gabbro			Frankenstein Intrusive Complex		49.8	49.8	8.7	8.7			Europe	Germany			SW Germany				356	370	Ma	100	198.1	40.4	4.9	45			20	110		ND	ND	ND	Rc	15.4	171.4	3.6	5.9			C	75	171.3	C Component. Thermal to 670C characteristic component. Js-T (CT ~580C) ; OP (MAGN HEM) ; Jrs/Js vs Hcr/Hc.	M		
Frankenstein Intrusive Complex	Outcrop		8594	i	DE-DI : LT-T-Z:LP-DC4	10.1029/2000JB900167			Intrusive	Diorite:Gabbro			Frankenstein Intrusive Complex		49.8	49.8	8.7	8.7			Europe	Germany			SW Germany				356	370	Ma	100	9.5	-42.9	10.7	51.7			5			ND	ND	ND	Rc	15.4	171.4	3.6	5.9			C	75	171.3	C Component. Thermal to 670C characteristic component. Js-T (CT ~580C) ; OP (MAGN HEM) ; Jrs/Js vs Hcr/Hc.	M		
